0,1,2,3,4,5,6,7,8,9,10,11,12
Arkansas,0.0,0.0,0.0,5.0,16.0,121.0,128.0,135.0,110.0,262.0,180.0,56.0
Arkansas,0.0,0.0,1.0,2.0,2.0,3.0,69.0,99.0,58.0,40.0,113.0,42.0
Arkansas,0.0,0.0,5.0,17.0,11.0,25.0,93.0,338.0,186.0,491.0,507.0,125.0
Arkansas,0.0,0.0,1.0,7.0,11.0,55.0,51.0,99.0,44.0,102.0,446.0,111.0
Arkansas,0.0,0.0,5.0,38.0,105.0,285.0,728.0,613.0,392.0,645.0,919.0,305.0
Arkansas,0.0,0.0,0.0,2.0,0.0,18.0,39.0,56.0,39.0,86.0,120.0,20.0
Arkansas,0.0,0.0,102.0,416.0,370.0,1148.0,2697.0,2339.0,2437.0,2841.0,4555.0,1268.0
Arkansas,0.0,0.0,1.0,16.0,9.0,22.0,116.0,147.0,131.0,244.0,303.0,96.0
Arkansas,0.0,0.0,10.0,57.0,45.0,163.0,580.0,721.0,554.0,884.0,1875.0,615.0
Arkansas,0.0,0.0,0.0,1.0,0.0,10.0,30.0,45.0,20.0,126.0,150.0,48.0
Arkansas,0.0,0.0,2.0,4.0,1.0,0.0,18.0,75.0,48.0,60.0,89.0,56.0
Arkansas,0.0,0.0,7.0,6.0,27.0,428.0,1221.0,1188.0,935.0,1233.0,2000.0,468.0
Arkansas,0.0,0.0,1.0,10.0,199.0,490.0,229.0,228.0,50.0,187.0,321.0,85.0
Arkansas,0.0,0.0,0.0,10.0,36.0,7.0,46.0,50.0,90.0,140.0,322.0,90.0
Arkansas,0.0,0.0,1.0,82.0,589.0,140.0,300.0,233.0,197.0,243.0,273.0,130.0
Arkansas,0.0,0.0,5.0,2.0,2.0,5.0,38.0,141.0,172.0,43.0,72.0,61.0
Arkansas,0.0,0.0,34.0,134.0,20.0,533.0,833.0,-650.0,1007.0,200.0,383.0,202.0
Arkansas,0.0,0.0,8.0,42.0,123.0,75.0,180.0,263.0,220.0,250.0,407.0,118.0
Arkansas,0.0,0.0,19.0,9.0,0.0,7.0,15.0,68.0,58.0,39.0,171.0,67.0
Arkansas,0.0,0.0,19.0,67.0,423.0,3069.0,2318.0,1004.0,2745.0,2159.0,3744.0,1193.0
Arkansas,0.0,0.0,10.0,24.0,10.0,42.0,164.0,278.0,370.0,682.0,1470.0,234.0
Arkansas,0.0,0.0,1.0,0.0,0.0,5.0,12.0,9.0,28.0,76.0,72.0,19.0
Arkansas,0.0,0.0,0.0,3.0,138.0,475.0,388.0,158.0,97.0,104.0,294.0,138.0
California,0.0,0.0,313.0,1290.0,1787.0,2574.0,5175.0,7048.0,3196.0,2493.0,6042.0,2863.0
California,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,42.0,7.0
California,0.0,0.0,2.0,6.0,11.0,3.0,93.0,165.0,16.0,48.0,246.0,401.0
California,0.0,0.0,8.0,8.0,28.0,124.0,773.0,1085.0,822.0,312.0,848.0,447.0
California,0.0,0.0,3.0,10.0,2.0,17.0,93.0,111.0,86.0,32.0,124.0,128.0
California,0.0,0.0,1.0,2.0,2.0,41.0,277.0,122.0,90.0,22.0,166.0,102.0
California,0.0,0.0,212.0,679.0,559.0,1682.0,4538.0,6268.0,2855.0,2293.0,5189.0,2080.0
California,0.0,0.0,0.0,3.0,42.0,5.0,38.0,35.0,21.0,37.0,158.0,72.0
California,0.0,0.0,15.0,29.0,46.0,88.0,459.0,330.0,184.0,237.0,1059.0,614.0
California,0.0,0.0,53.0,485.0,1205.0,3068.0,9628.0,10524.0,3658.0,2788.0,7159.0,2000.0
California,0.0,0.0,2.0,3.0,11.0,87.0,222.0,128.0,143.0,89.0,266.0,105.0
California,0.0,1.0,20.0,33.0,47.0,32.0,100.0,155.0,124.0,59.0,327.0,116.0
California,0.0,0.0,33.0,286.0,1315.0,4608.0,3124.0,1353.0,1189.0,1130.0,3234.0,283.0
California,0.0,0.0,8.0,11.0,1.0,11.0,19.0,129.0,9.0,53.0,49.0,42.0
California,0.0,0.0,83.0,810.0,1357.0,2405.0,14680.0,9989.0,2749.0,2235.0,7519.0,2500.0
California,0.0,0.0,3.0,93.0,650.0,1648.0,1752.0,2194.0,1341.0,883.0,2706.0,641.0
California,0.0,0.0,0.0,6.0,15.0,39.0,135.0,150.0,221.0,154.0,207.0,142.0
California,0.0,0.0,0.0,0.0,5.0,224.0,402.0,85.0,25.0,36.0,1016.0,629.0
California,1.0,0.0,3018.0,20201.0,31781.0,48849.0,84691.0,53227.0,28531.0,37319.0,93301.0,48932.0
California,0.0,0.0,21.0,25.0,60.0,382.0,1455.0,1840.0,800.0,511.0,1196.0,329.0
California,0.0,0.0,99.0,136.0,248.0,1727.0,2777.0,1177.0,570.0,397.0,646.0,239.0
California,0.0,0.0,0.0,3.0,13.0,10.0,27.0,18.0,5.0,5.0,58.0,20.0
California,0.0,0.0,4.0,8.0,18.0,48.0,234.0,392.0,250.0,211.0,415.0,117.0
California,0.0,0.0,10.0,115.0,158.0,696.0,3086.0,3967.0,929.0,713.0,2099.0,1118.0
California,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,15.0,23.0,93.0,38.0
California,0.0,0.0,13.0,13.0,11.0,5.0,100.0,20.0,4.0,27.0,355.0,66.0
California,0.0,0.0,40.0,166.0,324.0,1112.0,2900.0,3438.0,2070.0,1655.0,3916.0,1456.0
California,0.0,0.0,14.0,53.0,45.0,205.0,571.0,543.0,296.0,301.0,1062.0,475.0
California,0.0,0.0,21.0,20.0,0.0,72.0,186.0,147.0,95.0,101.0,669.0,331.0
California,1.0,0.0,501.0,1891.0,3868.0,7582.0,22353.0,12342.0,5213.0,6131.0,18671.0,8325.0
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,0.0,0.0,57.0,90.0,68.0,469.0,1192.0,1127.0,601.0,749.0,2269.0,1189.0
California,0.0,0.0,0.0,4.0,0.0,5.0,24.0,8.0,9.0,35.0,130.0,53.0
California,0.0,0.0,371.0,3660.0,3455.0,9810.0,19715.0,15898.0,6496.0,8645.0,19333.0,11229.0
California,0.0,2.0,222.0,853.0,323.0,1823.0,6597.0,8232.0,4538.0,3595.0,11230.0,4463.0
California,0.0,2.0,15.0,33.0,37.0,126.0,409.0,475.0,255.0,112.0,429.0,266.0
California,0.0,0.0,125.0,1933.0,3188.0,7304.0,19680.0,15412.0,7561.0,9749.0,28719.0,13099.0
California,0.0,2.0,601.0,2829.0,4049.0,6668.0,14899.0,9556.0,8576.0,9570.0,25293.0,10128.0
California,0.0,0.0,397.0,1102.0,1089.0,1015.0,2972.0,2919.0,1781.0,1124.0,3172.0,1215.0
California,0.0,0.0,136.0,407.0,315.0,2998.0,7627.0,6154.0,2774.0,1695.0,3634.0,2365.0
California,0.0,0.0,80.0,104.0,85.0,342.0,1172.0,1198.0,631.0,686.0,1847.0,478.0
California,0.0,0.0,309.0,868.0,927.0,1128.0,2237.0,2700.0,1821.0,1381.0,3087.0,1054.0
California,0.0,0.0,88.0,397.0,1164.0,1247.0,3271.0,1976.0,1021.0,780.0,1576.0,587.0
California,1.0,2.0,887.0,1273.0,613.0,1594.0,5543.0,7436.0,4030.0,3607.0,10099.0,4108.0
California,0.0,0.0,45.0,86.0,82.0,166.0,730.0,635.0,650.0,490.0,1606.0,507.0
California,0.0,0.0,6.0,25.0,8.0,73.0,257.0,201.0,373.0,1105.0,2915.0,690.0
California,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,13.0,5.0
California,0.0,0.0,3.0,2.0,2.0,21.0,44.0,65.0,29.0,75.0,383.0,162.0
California,0.0,0.0,43.0,220.0,254.0,609.0,2485.0,1901.0,933.0,1189.0,3014.0,765.0
California,0.0,0.0,73.0,159.0,321.0,583.0,1706.0,2876.0,1860.0,2108.0,2633.0,1050.0
California,0.0,0.0,33.0,306.0,405.0,1421.0,6725.0,5820.0,1802.0,1416.0,4234.0,1885.0
California,0.0,0.0,9.0,21.0,16.0,130.0,579.0,654.0,311.0,192.0,1420.0,605.0
California,0.0,0.0,0.0,1.0,3.0,71.0,152.0,192.0,166.0,347.0,778.0,235.0
California,0.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,3.0,17.0,126.0,27.0
